연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
360.0,평일,6,2611,응암,상행,6.0,10.0,16.5,19.2,14.8,14.6,15.0,16.5,16.6,16.0,20.8,26.0,28.4,44.6,25.9,19.4,20.9,20.0,12.2,5.6
399.0,평일,6,2611,응암,하행,13.5,24.4,53.7,54.0,29.9,23.3,20.3,20.9,20.4,16.8,19.5,25.8,22.3,21.3,12.2,10.3,9.8,9.5,4.8,1.2
394.0,평일,6,2612,역촌,하행,4.8,11.2,20.5,21.3,16.4,15.4,15.6,16.8,16.8,15.8,19.8,24.2,26.2,39.9,23.2,17.4,18.6,17.4,10.4,3.8
395.0,평일,6,2613,불광,하행,2.2,5.2,10.1,9.6,7.0,7.8,8.6,9.6,10.0,10.2,13.2,16.5,16.6,24.8,15.9,11.4,12.0,11.1,6.9,2.8
396.0,평일,6,2614,독바위,하행,2.2,6.6,13.7,12.2,8.2,8.8,9.0,9.8,10.2,10.4,12.3,15.6,15.1,21.7,13.6,9.8,10.0,9.2,5.5,2.3
397.0,평일,6,2615,연신내,하행,5.8,13.8,31.2,29.4,18.8,16.0,15.4,16.8,16.8,16.0,20.2,26.2,23.6,26.9,17.2,13.4,12.8,11.7,6.8,2.6
398.0,평일,6,2616,구산,하행,8.8,17.2,37.7,38.0,23.2,19.2,17.4,18.5,17.8,16.0,20.0,25.0,21.8,22.2,13.5,11.2,10.4,9.8,5.6,1.8
361.0,평일,6,2617,새절,상행,4.0,8.9,13.4,15.4,13.1,14.1,14.3,16.0,16.9,18.2,23.8,31.8,37.3,61.2,38.3,28.4,30.2,28.8,17.3,6.6
400.0,평일,6,2617,새절,하행,13.2,30.8,61.0,66.3,37.2,27.1,23.0,23.6,22.6,18.6,20.9,28.6,25.4,23.0,12.4,10.2,9.9,9.4,4.8,1.6
362.0,평일,6,2618,증산,상행,3.2,9.0,12.2,15.0,14.6,14.3,15.1,17.0,19.0,20.7,27.0,36.0,44.8,76.4,47.6,34.8,36.6,35.2,21.5,9.5
401.0,평일,6,2618,증산,하행,15.6,35.3,69.4,76.7,41.6,30.7,25.3,25.8,25.0,20.6,22.2,29.8,26.8,24.1,12.8,10.8,10.4,9.2,5.1,1.6
363.0,평일,6,2619,디지털미디어시티,상행,2.6,9.0,11.2,14.5,15.5,15.1,16.0,17.8,20.2,22.6,30.8,40.0,50.3,86.8,54.8,40.8,42.6,40.9,25.3,11.3
402.0,평일,6,2619,디지털미디어시티,하행,13.7,32.8,70.0,76.8,43.0,31.6,26.4,25.8,26.0,20.8,21.2,28.6,30.4,31.3,15.2,11.0,10.4,9.4,5.8,2.2
364.0,평일,6,2620,월드컵경기장,상행,4.0,10.2,14.1,19.8,17.0,14.4,15.4,17.2,20.2,22.4,30.5,40.6,49.0,85.2,55.9,41.2,43.1,41.6,25.6,11.0
403.0,평일,6,2620,월드컵경기장,하행,13.7,31.6,68.1,79.2,44.6,32.2,26.2,25.8,25.3,20.4,21.3,29.2,32.0,31.6,15.6,11.4,10.8,9.8,6.2,2.3
365.0,평일,6,2621,마포구청,상행,4.0,10.6,14.4,19.7,17.2,14.4,15.8,17.6,20.6,22.9,30.4,40.6,49.2,86.4,56.0,42.0,43.2,42.0,25.4,10.3
404.0,평일,6,2621,마포구청,하행,15.4,35.2,76.5,88.6,50.6,37.2,30.9,29.9,28.8,23.7,24.2,31.3,35.6,37.0,17.3,12.5,11.9,10.4,6.5,2.2
366.0,평일,6,2622,망원,상행,3.8,11.0,14.7,22.3,19.5,16.0,17.4,20.4,23.4,25.6,35.2,45.1,55.2,97.1,61.2,47.1,48.5,46.8,29.0,10.6
405.0,평일,6,2622,망원,하행,19.0,37.5,81.5,93.3,52.3,39.4,34.0,32.8,32.4,27.6,27.6,34.6,40.0,41.4,21.2,16.4,15.4,13.8,7.8,2.5
367.0,평일,6,2623,합정,상행,3.4,11.0,15.2,24.2,24.4,20.7,22.0,25.5,29.8,30.8,41.8,51.6,60.8,102.7,66.4,49.8,51.2,49.6,28.8,12.0
406.0,평일,6,2623,합정,하행,11.6,20.2,44.3,53.2,33.3,25.4,22.7,22.4,23.6,19.5,19.8,23.0,27.7,31.6,16.7,13.4,13.1,13.0,8.4,2.8
368.0,평일,6,2624,상수,상행,2.4,6.6,11.0,18.6,18.4,15.1,16.2,18.5,22.0,21.7,29.6,37.4,41.2,64.4,40.0,30.3,31.4,30.3,18.0,8.6
407.0,평일,6,2624,상수,하행,12.2,20.6,45.1,51.8,29.0,23.1,21.5,21.4,22.2,19.6,20.5,24.8,30.8,32.4,17.6,15.0,16.0,16.8,11.5,3.2
369.0,평일,6,2625,광흥창,상행,2.2,6.5,11.2,20.4,25.0,18.2,18.5,20.2,23.8,22.5,30.8,37.0,43.0,67.5,41.1,29.6,30.2,29.0,17.1,9.1
408.0,평일,6,2625,광흥창,하행,12.6,21.0,45.3,51.2,28.4,23.2,22.0,21.7,21.8,19.6,20.2,24.8,31.8,33.9,18.1,14.9,15.9,17.0,11.4,3.0
370.0,평일,6,2626,대흥,상행,1.8,6.4,10.6,21.0,24.7,18.2,17.4,20.2,23.6,21.7,29.8,36.3,42.4,64.8,41.4,30.0,30.8,30.4,17.6,10.1
409.0,평일,6,2626,대흥,하행,13.0,21.6,45.1,52.2,28.3,23.2,22.0,22.2,22.8,20.5,21.5,28.0,34.4,37.2,19.4,16.4,18.2,19.4,12.2,3.5
