연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
,평일,2,201,시청,상행,7.6,20.6,41.2,77.2,36.0,24.0,29.4,30.2,29.5,30.2,30.8,29.6,35.0,42.4,21.7,15.4,22.0,33.2,20.7,
,평일,2,201,시청,하행,4.8,12.8,23.0,27.2,19.5,17.0,21.6,24.8,27.6,27.3,32.2,33.9,48.6,80.8,37.8,33.8,30.0,45.0,32.1,
,평일,2,202,을지로입구,상행,5.4,15.8,29.6,51.7,27.8,20.6,26.6,27.8,31.1,32.0,35.7,34.0,43.6,57.0,27.9,19.8,26.6,37.7,21.0,
,평일,2,202,을지로입구,하행,3.8,14.2,27.0,35.8,22.4,18.0,21.2,24.6,26.6,25.4,30.4,31.0,45.0,68.3,34.4,30.4,26.8,42.7,29.8,
,평일,2,203,을지로3가,상행,5.3,15.1,27.5,44.4,25.8,19.4,25.2,27.1,29.7,30.7,34.8,33.5,44.4,57.8,29.0,19.8,27.8,38.2,29.0,
,평일,2,203,을지로3가,하행,6.0,16.6,36.7,53.8,30.4,21.8,24.1,26.4,26.4,24.9,28.6,28.4,37.3,53.8,28.0,23.4,21.6,35.0,25.4,
,평일,2,204,을지로4가,상행,6.2,13.8,25.5,40.4,25.7,18.8,25.0,27.6,30.4,32.2,37.0,36.3,48.8,63.6,31.9,21.0,29.2,43.2,28.2,
,평일,2,204,을지로4가,하행,6.6,18.4,42.8,57.0,31.8,22.0,24.4,25.5,25.5,23.2,26.6,26.8,32.4,47.0,26.0,22.2,19.6,31.8,21.2,
,평일,2,205,동대문역사문화공원,상행,8.8,19.6,36.0,55.2,34.0,23.5,29.0,35.0,36.0,35.3,43.0,41.6,52.4,66.4,31.0,20.4,27.7,40.0,25.4,
,평일,2,205,동대문역사문화공원,하행,6.8,18.8,47.8,60.8,34.5,24.4,26.0,27.0,26.4,23.6,27.3,26.8,31.4,43.8,24.4,21.2,19.2,31.4,18.6,
