연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
1,평일,6,2611,응암,상행,5.2,8,13.6,16.5,12.6,12.9,11.6,13.4,13.4,13.5,15,19.2,20,35.8,21.8,15,15.6,15.3,10,0
2,평일,6,2611,응암,하행,11.2,19.1,41.2,47.7,23.5,18.8,16.6,16.7,16.3,15.6,15.8,20.3,18.8,17.8,9.4,7.8,7.8,7.6,3.8,0
3,평일,6,2612,역촌,하행,4,9.3,16.6,18.6,13.7,13.6,12,13.4,13.6,13.2,14.7,17.6,18.1,31.8,19.6,13.5,13.6,13.5,8.4,0
4,평일,6,2613,불광,하행,1.8,3.9,7.2,7.4,5.6,6.6,6.5,7.6,7.6,8.2,10.4,12.5,12.3,19.7,13.3,9,9,8.7,5.5,0
5,평일,6,2614,독바위,하행,1.8,4.8,10.1,9.9,6.5,7,6.7,7.8,7.8,8.3,10,11.6,11.5,17.2,10.9,7.6,7.4,7.1,4.2,0
6,평일,6,2615,연신내,하행,5,11.2,24.2,25.2,14,12.8,12.2,13.4,13,13.4,16.5,19.6,18.7,20.6,13,9.4,9.2,8.4,4.6,0
7,평일,6,2616,구산,하행,7,13.6,28.4,32.4,17.5,15.4,14,14.6,14.2,13.6,16.4,19.3,17.8,17.6,10,8,7.9,7.2,4,0
8,평일,6,2617,새절,상행,3.6,5.8,8.7,13.9,11,13.3,12,12.6,13.7,15.6,17.2,23.9,24.8,47.1,38.7,25,24.7,23.5,16.2,0
9,평일,6,2617,새절,하행,10.6,24.6,46.8,58.6,29.5,21.9,19,19,18.5,17.1,17,22.2,21,18.6,9.9,8.2,7.9,7.6,3.8,0
10,평일,6,2618,증산,상행,3.2,5.9,8,12.9,11.3,13.1,11.6,13.9,15,16.6,21.4,24.7,30.7,59.7,50.2,30.4,28.2,30.6,20.8,0
11,평일,6,2618,증산,하행,12.6,28.6,53.8,69,33.5,24.6,20.5,21.2,20.4,18.3,17.7,23.2,22,20,10.6,8.4,8.3,8,4,0
12,평일,6,2619,디지털미디어시티,상행,2.9,5.8,7.7,12,12.4,12.2,13,14.6,15.6,18,22.6,29.5,35.4,69.2,57.6,31.8,37.2,35.6,24.5,0
13,평일,6,2619,디지털미디어시티,하행,10.8,25.4,52.9,67.8,33,24,20.4,20.8,20.3,18.2,17.4,22.4,25,28.2,13.1,9.2,8.8,8.4,3.9,0
14,평일,6,2620,월드컵경기장,상행,3.5,8.3,10.4,18.4,14.2,12.3,13.6,14.6,15.8,17.4,22,29.8,34.3,64.5,53.9,32.6,36.7,34.1,22.6,0
15,평일,6,2620,월드컵경기장,하행,10.7,24,53.1,68.6,34,23.8,20.4,20.5,19.9,17.9,17.4,22.8,26,28.8,13.2,9.4,9,8.4,4.4,0
16,평일,6,2621,마포구청,상행,3.6,8.4,10.8,18.1,14.6,13.4,13.2,15.3,16.3,17.5,22.6,28.4,33.8,64.3,55,34.2,36.8,34.4,22.8,0
17,평일,6,2621,마포구청,하행,12.2,26.6,58.2,75.6,38.9,28,23.8,24.4,22.9,20.2,20.2,25.5,29.1,34.4,14.6,10.2,10,9.2,4.4,0
18,평일,6,2622,망원,상행,3.5,9.2,10.8,21.4,16.5,15.1,14.4,18.3,18.5,20.3,26.2,30.9,38.1,73.6,59.6,37.3,37.7,39.7,27.5,0
