연번,평일주말,호선,역번호,역명,구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30
19.0,평일,1,150,서울역,상행,8.2,18.9,19.8,35.8,64.9,72.7,87.3,67.1,58.0,39.6,39.6,36.2,27.8,32.1,37.3,33.6,29.8,29.2,25.3,26.2,26.2,24.9,26.5,25.7,36.8,49.6,39.4,30.0,22.7,19.3,18.7,18.3,14.9,17.5,18.8,15.2,13.0,7.3,1.1
20.0,평일,1,150,서울역,하행,11.1,10.7,15.7,23.5,37.4,39.1,23.2,28.1,21.2,22.0,17.3,20.9,20.8,28.6,25.6,27.8,29.6,35.2,31.9,47.2,56.1,52.7,59.9,66.0,74.7,110.4,82.1,49.0,39.9,39.6,36.9,42.5,36.6,41.0,29.1,18.4,16.1,5.5,0.0
17.0,평일,1,151,시청,상행,8.0,13.3,16.9,29.3,48.3,60.3,58.3,52.8,49.0,36.0,36.2,35.8,26.7,30.6,35.2,32.4,28.3,29.7,25.2,28.8,27.1,26.3,29.8,29.4,41.8,69.0,49.1,33.6,26.1,23.2,22.5,23.0,18.5,21.6,21.5,19.4,14.3,7.7,1.5
18.0,평일,1,151,시청,하행,9.1,9.9,17.7,22.6,37.6,36.2,26.9,30.7,22.4,24.4,18.1,21.3,20.3,28.0,23.9,27.2,29.0,31.6,34.1,42.8,54.8,46.5,49.0,61.6,66.2,108.8,75.5,43.5,35.4,34.2,33.5,39.1,30.2,35.1,24.5,15.8,14.1,4.1,0.4
15.0,평일,1,152,종각,상행,7.8,11.7,10.6,19.6,30.0,36.9,31.3,33.5,38.0,32.7,30.5,34.5,25.1,28.6,31.8,30.9,28.8,31.0,27.7,31.4,30.6,29.9,32.3,37.3,45.2,89.2,63.5,41.8,30.4,31.8,29.5,32.5,24.8,28.2,28.4,26.7,16.9,8.6,1.5
16.0,평일,1,152,종각,하행,9.9,11.0,18.0,29.2,46.3,51.0,42.8,38.4,27.6,26.6,19.1,21.4,21.6,28.3,25.4,25.0,31.4,30.9,32.3,43.1,47.9,42.2,44.9,53.0,58.9,79.6,56.3,32.3,30.0,27.1,27.4,31.7,24.9,29.5,19.9,13.9,11.0,3.4,0.6
13.0,평일,1,153,종로3가,상행,6.8,12.9,10.8,19.5,30.8,41.8,32.4,33.7,37.9,34.9,33.2,33.0,27.6,30.3,36.0,33.3,31.0,34.4,30.9,34.9,36.7,32.7,37.4,40.4,49.9,94.1,68.2,46.8,31.7,32.7,31.8,39.2,27.7,31.0,31.7,28.9,18.8,8.5,1.4
14.0,평일,1,153,종로3가,하행,11.6,12.1,21.3,35.4,61.1,68.2,70.4,55.2,37.5,31.1,22.7,23.9,22.8,26.6,27.4,24.6,31.4,28.8,32.7,40.0,42.6,35.5,44.0,39.2,50.1,53.1,43.1,23.9,23.2,20.0,19.2,21.9,16.2,20.9,14.7,9.8,8.3,3.0,0.6
11.0,평일,1,154,종로5가,상행,6.3,12.0,8.2,14.7,24.0,32.0,21.3,29.9,28.5,28.5,26.9,30.2,23.4,27.9,30.1,34.5,26.5,33.4,30.0,36.6,33.3,33.3,38.5,39.8,53.1,94.3,73.1,48.7,33.1,33.8,33.5,39.4,34.0,33.0,29.1,29.1,18.7,13.3,2.6
12.0,평일,1,154,종로5가,하행,13.0,16.7,20.7,40.0,63.6,76.7,73.5,63.4,39.0,34.7,28.8,29.8,24.1,35.9,31.9,28.1,36.0,32.6,36.6,40.0,53.8,34.5,44.1,42.3,50.9,54.9,36.6,25.4,21.6,19.4,18.4,20.2,16.3,19.5,12.9,9.8,9.5,3.8,0.9
9.0,평일,1,155,동대문,상행,8.6,11.9,8.0,14.2,22.4,30.0,23.9,28.1,26.7,27.2,25.8,32.5,21.4,27.6,27.5,36.2,29.2,29.0,31.8,36.9,34.3,37.2,36.0,42.9,51.3,92.0,76.2,47.3,35.0,36.5,30.3,38.9,33.7,32.8,28.0,32.2,20.4,13.8,2.2
10.0,평일,1,155,동대문,하행,13.6,17.9,21.6,46.5,67.2,82.6,80.7,67.7,42.0,35.9,30.8,30.1,22.6,30.6,33.6,29.1,33.7,26.5,32.0,35.2,43.9,30.3,40.1,38.3,40.1,42.7,29.2,20.0,16.8,15.8,14.7,16.7,12.9,15.9,10.9,8.8,8.9,3.6,0.9
5.0,평일,1,156,신설동,상행,8.2,11.5,7.3,9.6,14.6,23.2,19.6,20.5,28.9,21.0,22.3,26.4,18.8,20.7,25.0,29.6,26.9,26.1,26.5,32.2,30.8,37.8,30.4,41.4,52.6,76.4,68.8,46.2,35.0,30.8,25.6,35.3,27.5,26.3,27.8,26.1,18.9,13.2,
