연번,평일주말,호선,역번호,역명,구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30
10.0,평일,1,150,서울역,상행,7.3,20.6,19.8,37.9,66.9,73.1,91.4,67.7,58.2,35.8,46.5,37.1,31.2,32.3,42.6,36.3,29.0,30.8,23.3,26.3,26.3,24.2,26.0,27.0,36.3,49.0,39.8,29.1,23.7,19.1,17.8,18.5,15.2,16.1,17.0,12.1,12.3,9.0,1.4
20.0,평일,1,150,서울역,하행,11.4,10.9,15.9,24.1,38.9,41.6,24.4,29.5,21.6,21.7,17.6,21.0,22.9,29.8,26.8,31.2,35.9,33.6,31.5,45.4,55.6,49.0,57.2,64.8,74.6,124.0,72.8,47.8,40.3,39.5,40.9,44.2,37.6,39.9,29.2,18.1,15.7,5.8,0.0
9.0,평일,1,151,시청,상행,7.0,13.9,17.1,30.6,49.4,62.3,56.6,53.0,49.0,31.9,43.1,36.0,29.3,30.7,40.2,34.8,27.5,31.0,23.2,28.0,26.7,26.9,28.6,30.5,41.2,65.1,53.0,32.9,27.0,22.8,22.3,23.2,18.6,20.3,19.9,16.3,13.6,8.9,1.7
19.0,평일,1,151,시청,하행,9.2,9.5,16.8,22.5,36.8,35.9,26.8,30.4,21.7,22.6,18.2,20.4,21.8,28.6,25.0,30.2,33.6,29.3,34.4,42.7,53.5,44.4,48.4,62.5,66.8,109.1,77.5,43.7,36.9,35.5,38.7,42.0,31.8,35.2,25.0,15.6,13.7,4.4,0.3
8.0,평일,1,152,종각,상행,6.4,11.4,10.4,19.6,29.0,37.7,30.8,34.2,37.4,30.2,34.4,35.1,26.7,28.8,36.0,32.8,28.8,31.1,26.9,30.9,30.3,31.0,31.4,38.7,45.1,83.8,64.7,41.6,30.8,30.8,33.0,33.2,25.4,26.9,26.2,22.8,15.2,9.5,1.4
18.0,평일,1,152,종각,하행,9.8,10.6,17.3,28.4,45.4,50.9,44.9,38.7,26.4,24.9,19.5,21.3,24.2,29.0,27.0,27.3,36.0,28.8,32.5,42.4,47.8,39.7,44.2,53.5,57.8,82.0,54.9,32.9,30.9,28.0,32.2,32.8,26.1,29.1,19.8,13.5,10.9,3.7,0.3
7.0,평일,1,153,종로3가,상행,5.6,12.3,10.7,19.4,29.7,42.6,30.9,34.0,36.7,32.7,37.9,32.5,28.9,30.5,42.6,33.8,30.4,34.2,29.9,34.4,36.0,33.3,37.4,42.6,50.2,90.1,69.1,46.5,32.2,31.8,36.1,40.2,28.7,30.2,30.4,26.3,17.3,9.3,1.4
17.0,평일,1,153,종로3가,하행,11.8,11.4,20.6,34.8,60.5,67.2,75.3,56.1,35.3,29.9,22.8,23.4,25.6,27.7,28.9,27.1,35.7,27.7,32.1,39.4,44.5,31.3,42.1,40.0,47.8,56.1,41.2,24.6,23.9,20.4,20.6,22.6,17.4,20.9,14.8,9.7,8.6,3.1,0.4
6.0,평일,1,154,종로5가,상행,5.1,11.2,8.5,14.6,23.1,32.8,22.2,28.8,28.1,27.3,29.7,30.3,24.1,30.2,33.5,34.6,26.3,32.6,28.4,36.5,32.9,33.9,38.6,41.0,54.4,86.2,81.4,47.0,33.3,33.4,37.5,40.6,34.9,32.5,27.8,26.6,16.2,13.4,4.0
16.0,평일,1,154,종로5가,하행,13.0,16.3,21.2,42.1,65.0,75.7,77.4,66.2,37.9,35.1,29.1,28.7,27.7,35.9,33.1,30.8,40.3,31.2,35.1,40.7,53.3,32.5,43.0,42.3,48.7,55.9,35.8,26.1,22.8,19.3,19.5,20.5,16.2,20.3,12.2,9.4,9.3,3.8,0.6
5.0,평일,1,155,동대문,상행,7.4,11.2,8.3,14.0,21.7,30.3,24.6,27.2,26.5,26.3,29.0,32.8,22.6,30.2,33.6,35.2,28.9,30.2,29.4,37.1,33.8,37.3,37.4,43.4,52.7,87.0,80.5,45.8,34.7,35.6,33.5,40.5,34.7,32.6,26.1,31.3,18.0,13.6,3.5
15.0,평일,1,155,동대문,하행,13.5,17.6,22.0,43.8,70.6,80.0,83.9,70.6,40.8,37.1,29.9,29.4,26.8,31.1,35.3,30.7,38.3,26.0,30.6,36.3,43.0,29.0,39.0,37.2,39.7,45.0,29.5,20.9,18.6,15.5,15.5,17.4,13.3,16.3,10.4,8.5,8.8,3.8,0.7
3.0,평일,1,156,신설동,상행,6.7,11.2,7.2,9.6,14.8,23.3,20.5,20.0,28.6,19.3,26.2,26.2,19.7,23.6,26.2,31.3,27.0,25.9,25.2,31.5,29.8,37.5,33.0,41.3,55.5,73.1,72.8,44.9,34.2,30.7,26.8,36.3,28.6,26.6,26.1,25.2,16.1,12.6,0.0
