연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
19.0,평일,1,150,서울역,상행,39.6,32.0,34.7,31.700000000000003,27.25,26.2,25.7,31.25,44.5,26.35,19.0,16.6,18.15,14.1
20.0,평일,1,150,서울역,하행,19.65,20.85,27.1,28.700000000000003,33.55,51.650000000000006,56.3,70.35,96.25,44.45,38.25,39.55,35.05,17.25
17.0,평일,1,151,시청,상행,36.1,31.25,32.900000000000006,30.35,27.45,27.950000000000003,28.05,35.599999999999994,59.05,29.85,22.85,20.75,21.55,16.85
18.0,평일,1,151,시청,하행,21.25,20.8,25.95,28.1,32.85,48.8,47.75,63.900000000000006,92.15,39.45,33.85,34.65,29.8,14.95
15.0,평일,1,152,종각,상행,31.6,29.8,30.200000000000003,29.85,29.35,31.0,31.099999999999998,41.25,76.35,36.099999999999994,30.65,28.65,28.299999999999997,21.799999999999997
16.0,평일,1,152,종각,하행,22.85,21.5,26.85,28.2,31.599999999999998,45.5,43.55,55.95,67.94999999999999,31.15,27.25,28.299999999999997,24.7,12.45
13.0,평일,1,153,종로3가,상행,34.05,30.3,33.15,32.15,32.65,35.8,35.05,45.15,81.15,39.25,32.25,33.45,31.35,23.85
14.0,평일,1,153,종로3가,하행,26.9,23.35,27.0,28.0,30.75,41.3,39.75,44.650000000000006,48.1,23.549999999999997,19.6,19.049999999999997,17.799999999999997,9.05
11.0,평일,1,154,종로5가,상행,27.7,26.799999999999997,29.0,30.5,31.7,34.95,35.9,46.45,83.69999999999999,40.900000000000006,33.65,36.7,31.05,23.9
12.0,평일,1,154,종로5가,하행,31.75,26.950000000000003,33.9,32.05,34.6,46.9,39.3,46.599999999999994,45.75,23.5,18.9,18.25,16.2,9.65
9.0,평일,1,155,동대문,상행,26.5,26.95,27.55,32.7,30.4,35.599999999999994,36.6,47.099999999999994,84.1,41.15,33.4,36.3,30.4,26.3
10.0,평일,1,155,동대문,하행,33.35,26.35,32.1,31.400000000000002,29.25,39.55,35.2,39.2,35.95,18.4,15.25,14.8,13.4,8.850000000000001
5.0,평일,1,156,신설동,상행,21.65,22.6,22.85,28.25,26.3,31.5,34.099999999999994,47.0,72.6,40.6,28.200000000000003,31.4,27.05,22.5
6.0,평일,1,156,신설동,하행,30.5,25.3,28.95,27.0,26.6,33.0,34.15,34.05,31.0,15.3,13.649999999999999,12.25,10.55,7.6499999999999995
3.0,평일,1,157,제기동,상행,17.35,19.0,18.3,23.549999999999997,23.25,26.65,32.3,45.95,72.4,39.45,27.6,30.3,25.799999999999997,22.45
4.0,평일,1,157,제기동,하행,30.150000000000002,22.9,27.9,25.35,25.75,31.6,29.55,30.200000000000003,27.9,13.65,12.55,11.149999999999999,9.7,7.65
1.0,평일,1,158,청량리,상행,15.5,15.55,14.7,20.05,19.45,23.95,29.75,38.7,61.75,37.8,25.55,25.35,22.8,19.85
2.0,평일,1,158,청량리,하행,29.85,20.75,22.7,23.25,20.0,28.45,25.7,26.450000000000003,23.3,12.399999999999999,11.2,10.850000000000001,9.05,7.449999999999999
