연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
10.0,평일,1,150,서울역,상행,41.15,34.15,37.45,32.65,27.05,26.3,25.1,31.65,44.4,26.4,18.450000000000003,16.85,16.55,12.2
20.0,평일,1,150,서울역,하행,19.65,21.95,28.3,33.55,32.55,50.5,53.1,69.69999999999999,98.4,44.05,40.2,40.900000000000006,34.55,16.9
9.0,평일,1,151,시청,상행,37.5,32.65,35.45,31.15,27.1,27.35,27.75,35.85,59.05,29.95,22.55,20.9,20.1,14.95
19.0,평일,1,151,시청,하행,20.4,21.1,26.8,31.9,31.85,48.1,46.4,64.65,93.3,40.3,37.1,36.9,30.1,14.649999999999999
8.0,평일,1,152,종각,상행,32.3,30.9,32.4,30.799999999999997,29.0,30.6,31.2,41.900000000000006,74.25,36.2,31.9,29.3,26.549999999999997,19.0
18.0,평일,1,152,종각,하행,22.2,22.75,28.0,31.65,30.65,45.099999999999994,41.95,55.65,68.45,31.9,30.1,29.45,24.450000000000003,12.2
7.0,평일,1,153,종로3가,상행,35.3,30.7,36.55,32.099999999999994,32.05,35.2,35.349999999999994,46.400000000000006,79.6,39.35,33.95,34.45,30.299999999999997,21.8
17.0,평일,1,153,종로3가,하행,26.35,24.5,28.299999999999997,31.400000000000002,29.9,41.95,36.7,43.9,48.650000000000006,24.25,20.5,20.0,17.85,9.149999999999999
6.0,평일,1,154,종로5가,상행,28.5,27.200000000000003,31.85,30.450000000000003,30.5,34.7,36.25,47.7,83.80000000000001,40.15,35.45,37.75,30.15,21.4
16.0,평일,1,154,종로5가,하행,32.1,28.2,34.5,35.55,33.15,47.0,37.75,45.5,45.849999999999994,24.450000000000003,19.4,18.35,16.25,9.350000000000001
5.0,평일,1,155,동대문,상행,27.65,27.7,31.9,32.05,29.799999999999997,35.45,37.349999999999994,48.05,83.75,40.25,34.55,37.6,29.35,24.65
15.0,평일,1,155,동대문,하행,33.5,28.1,33.2,34.5,28.3,39.65,34.0,38.45,37.25,19.75,15.5,15.35,13.350000000000001,8.65
3.0,평일,1,156,신설동,상행,22.75,22.95,24.9,29.15,25.549999999999997,30.65,35.25,48.4,72.94999999999999,39.55,28.75,32.45,26.35,20.65
13.0,평일,1,156,신설동,하행,30.15,26.8,31.049999999999997,28.549999999999997,26.65,32.9,32.5,33.900000000000006,31.25,16.35,13.05,12.9,10.350000000000001,7.35
2.0,평일,1,157,제기동,상행,18.35,19.25,20.200000000000003,23.95,23.2,26.35,33.45,47.45,72.75,39.3,28.0,31.15,25.549999999999997,20.5
