연번,호선,역번호,역명,상행(내선순환),출구 번호,하행(외선순환),출구번호,기타
1,1호선,150,서울역,회현 방면,"3-3, 9-3",숙대입구방면,"2-1, 8-1,",
2,1호선,151,시청,종각 방면,"2-2, 4-1, 6-1, 7-4",서울역 방면,"4-1, 5-4, 7-4, 9-3",
3,1호선,159,동묘앞,신설동 방면,"4-3, 9-1, 10-4,",동대문 방면,"2-3, 7-1",
4,2호선,201,시청,을지로입구 방면,"2-2, 4-1, 7-4, 9-4",충정로 방면,"2-1, 4-1, 7-4, 9-3",
5,2호선,202,을지로입구,을지로3가 방면,"1-3, 5-2, 7-2, 10-2",시청 방면,"1-3, 4-3, 6-3, 10-2",
6,2호선,203,을지로3가,을지로4가 방면,"4-1, 4-3, 4-4, 9-2,",을지로입구 방면,"2-3, 4-1, 7-4, 9-2",
7,2호선,204,을지로4가,동대문역사공원 방면,"2-4, 7-4, 9-2",을지로3가 방면,"3-3, 4-1, 9-1,",
8,2호선,205,동대문역사문화공원(DDP),신당 방면,"2-3, 8-1,",을지로4가 방면,"3-4, 9-2",
9,2호선,206,신당,상왕십리 방면,"1-1, 3-1, 4-3, 7-3, 9-1",동대문역사공원 방면,"2-4, 4-2, 7-2, 8-4, 10-4",
10,2호선,207,상왕십리,왕십리 방면,"3-1, 4-3, 7-2,",신당 방면,"4-3, 7-2, 8-4,",
11,2호선,208,왕십리(성동구청),한양대 방면,"2-4, 4-4, 7-4, 9-2,",상왕십리 방면,"2-3, 4-1, 7-1, 9-1",
12,2호선,209,한양대,뚝섬 방면,"2-4, 4-3, 7-3, 9-1",왕십리 방면,"2-4, 4-2, 7-2, 9-1",
13,2호선,210,뚝섬,성수 방면,"2-3, 4-4, 7-1, 9-2,",한양대 방면,"2-3, 4-4, 7-1, 9-1",
14,2호선,211,성수,건대입구 방면,"1-1, 10-4","뚝섬, 용답 방면","1-1, 10-4, ",
15,2호선,212,건대입구,구의 방면,"3-2, 4-2, 6-3,",성수 방면,"5-2, 7-3, 8-3,",
16,2호선,213,구의(광진구청),강변 방면,"3-4, 8-1,",건대입구 방면,"3-4, 8-1",
17,2호선,214,강변(동서울터미널),잠실나루 방면,"3-2, 6-3, 9-1,",구의 방면,"3-1, 5-2, 8-3",
18,2호선,215,잠실나루,잠실 방면,"4-2, 7-3,",강변 방면,"4-2, 7-3,",
19,2호선,216,잠실(송파구청),잠실새내 방면,"2-3, 7-3,",잠실나루 방면,"4-1, 5-4, 9-1",
20,2호선,217,잠실새내,종합운동장 방면,"3-3, 8-1,",잠실 방면,"3-4, 8-2, ",
21,2호선,218,종합운동장,삼성 방면,"3-4, 7-3, 9-3, ",잠실새내 방면,"2-1, 4-1, 7-4,",
22,2호선,219,삼성(무역센터),선릉 방면,"3-3, 9-2,",종합운동장 방면,"2-2, 8-1",
23,2호선,220,선릉,역삼 방면,"4-3, 7-2,",삼성 방면,"3-1, 8-4",
24,2호선,221,역삼,강남 방면,"3-3, 9-4,",선릉 방면,"2-1, 8-2",
25,2호선,222,강남,교대 방면,"2-4, 4-3, 7-3,",역삼 방면,"4-2, 7-2, 9-1",
26,2호선,223,"교대(법원,검찰청)",서초 방면,"4-1, 8-2,",강남 방면,"3-3, 7-4",
27,2호선,224,서초,방배 방면,"4-1, 8-1,",교대 방면,"3-3, 7-4",
28,2호선,225,방배,사당 방면,"4-1, 7-2,",서초 방면,"4-2, 7-4,",
29,2호선,226,사당,낙성대 방면,"3-3, 8-1, ",방배 방면,"3-3, 5-1, 5-2, 8-1,",
30,2호선,227,낙성대(강감찬),서울대입구 방면,"4-2, 7-4,",사당 방면,"4-1, 7-3,",
31,2호선,228,서울대입구(관악구청),봉천 방면,"3-4, 6-1, 6-2,",낙성대 방면,"5-3, 7-4",
32,2호선,229,봉천,신림 방면,"2-4, 8-4",서울대입구 방면,"2-4, 8-4",
33,2호선,230,신림,신대방 방면,"4-2, 8-1,",봉천 방면,"3-4, 7-3",
34,2호선,231,신대방,구로디지털단지 방면,"3-1, 7-1, ",신림 방면,"4-3, 8-3,",
35,2호선,232,구로디지털단지,대림 방면,"3-2, 8-4,",신대방 방면,"2-4, 8-2",
36,2호선,233,대림(구로구청),신도림 방면,"2-1, 4-2, 7-4, 9-4,",구로디지털단지 방면,"2-1, 4-2, 7-4, 9-4",
37,2호선,234,신도림,"문래, 도림천 방면","2-2, 4-2, 7-3, 9-3",대림 방면,"2-2, 4-1, 7-3, 9-3,",
38,2호선,235,문래,영등포구청 방면,"3-1, 4-3, 7-4, 9-2",신도림 방면,"2-3, 4-1, 7-2, 8-4,",
39,2호선,236,영등포구청,당산 방면,"2-3, 4-2, 9-3,",문래 방면,"2-3, 3-1, 7-4, 9-3",
40,2호선,237,당산,합정 방면,"3-1, 4-4, 8-1, 8-3, ",영등포구청 방면,"3-1, 3-4, 7-1, 8-4",
41,2호선,238,합정,홍대입구 방면,"4-3, 7-3",당산 방면,"4-1, 8-4,",
42,2호선,239,홍대입구,신촌 방면,"3-2, 5-1, 7-3,",합정 방면,"4-1, 6-4, 8-2",
43,2호선,240,신촌,이대 방면,"3-4, 5-3, 6-1, 7-4",홍대입구 방면,"4-1, 5-4, 6-2, 8-1",
44,2호선,241,이대,아현 방면,"2-2, 9-2,",신촌 방면,"2-2, 9-2,",
45,2호선,242,아현,충정로 방면,"5-1,",이대 방면,"6-4,",
46,2호선,243,충정로(경기대입구),시청 방면,"2-1, 4-1, 7-2, 9-1,",아현 방면,"2-4, 4-3, 7-4, 9-4,",
47,2호선,244,용답,성수 방면,"2-3,",신답 방면,"3-2,",
48,2호선,245,신답,용답 방면,"3-1,",용두 방면,"3-1,",
49,2호선,250,용두(동대문구청),신답 방면,"3-1, 3-2",신설동 방면,"2-3, 2-3, 2-4",신설역
50,2호선,246,신설동,,,신설동 방면,"1-1, ",
51,2호선,247,도림천,양천구청 방면,"2-2,",신도림 방면,"5-3, ",
52,2호선,248,양천구청,신정네거리 방면,"2-3, 5-1,",도림천 방면,"2-3, 5-1,",
53,2호선,249,신정네거리,까치산 방면,"3-2, 5-1,",앙천구청 방면,"2-4, 4-3",
54,3호선,309,지축,지축역 구파발 방면,"3-3, 7-3",삼송 방면,"4-2, 8-2",
55,3호선,310,구파발,연신내 방면,"2-1, 9-4, ",지축 방면,"1-4, 9-3",
56,3호선,311,연신내,불광 방면,"2-1, 10-1",구파발 방면,"1-3, 9-3",
57,3호선,312,불광,오금 방면,"4-3, 7-3",대화 방면,"4-2, 7-2",
58,3호선,313,녹번,홍제 방면,"4-2, 7-4, ",불광 방면,"3-4, 7-2",
59,3호선,314,홍제,오금 방면,"3-1, 7-1",녹번 방면,"4-4, 8-4",
60,3호선,315,무악재,독립문 방면,"4-4, 7-1",홍제 방면,"4-4, 7-1",
61,3호선,316,독립문,경복궁 방면,"4-1, 7-1",무약재 방면,"4-4, 7-4",
62,3호선,317,경복궁(정부서울청사),안국 방면,"3-2, 9-1",독립문 방면,"2-4, 8-3",
63,3호선,318,안국,종로3가 방면,"4-4, 7-2",경복궁 방면,"4-3, 7-1",
64,3호선,319,종로3가,을지로3가 방면,"2-4, 7-3, 9-2",안국 방면,"2-3, 4-3, 9-1",
65,3호선,320,을지로3가,충무로 방면,"4-3, 7-2",종로3가 방면,"4-2, 7-1",
66,3호선,321,충무로,동대입구 방면,"7-4, 8-4",을지로3가 방만,"3-4, 4-4 ",
67,3호선,322,동대입구,약수 방면,"2-4, 7-3",충무로 방면,"4-2, 9-1",
68,3호선,323,약수,금호 방면,"4-2, 8-4",동대입구 방면,"3-1, 7-2",
69,3호선,324,금호,옥수 방면,"7-4,",약수 방면,"4-1,",
70,3호선,325,옥수,압구정 방면,"4-1, 7-4 ",금호 방면,"4-1, 7-4",
71,3호선,326,압구정,신사 방면,"2-4, 9-2",옥수 방면,"2-2, 9-1",
72,3호선,327,신사,잠원 방면,"4-2, 7-4",압구정 방면,"4-1, 9-1",
73,3호선,328,잠원,고속터미널 방면,"4-3, ",신사 방면,"7-1,",
74,3호선,329,고속터미널,교대 방면,"2-3, 4-,3, 7-2",잠원 방면,"4-3, 7-2, 9-2",
75,3호선,330,"교대(법원,검찰청)",남부터미널 방면,"2-1, 8-2",고속터미널 방면,"3-3, 9-4",
76,3호선,331,남부터미널(예술의전당),양재 방면,"3-4, 7-2, ",교대 방면,"4-2, 9-3",
77,3호선,332,양재(서초구청),매봉 방면,"3-3, 7-4, ",남부터미널 방면,"3-4, 8-1",
78,3호선,333,매봉,도곡 방면,"6-4,",양재 방면,"5-1,",
79,3호선,334,도곡,대치 방면,"7-3,",매봉 방면,"4-2,",
80,3호선,335,대치,학여울 방면,"1-1, 10-4",도곡 방면,"1-1, 10-4",
81,3호선,336,학여울,대청 방면,"6-4,",대치 방면,"5-1,",
82,3호선,337,대청,일원 방면,"5-4, 8-1",학여울 방면,"3-4, 6-1",
83,3호선,338,일원,수서 방면,"4-2, 6-2",대청 방면,"5-3, 7-3",
84,3호선,339,수서,가락시장 방면,"2-2, 4-3, ",일원 방면,"7-2, 9-4",
85,3호선,340,가락시장,경찰병원 방면,"5-2,",수서 방면,"4-4,",
86,3호선,341,경찰병원,오금 방면,"9-3,",가락시장 방면,"2-2,",
87,3호선,342,오금,오금 방면,"4-2,",,,
88,4호선,409,당고개,별내별가람 방면,"4-3, 7-2,",상계 방면,"4-3, 7-2,",역명변경 당고개-> 불암산
89,4호선,410,상계,불암산 방면,"4-1, 7-3, 9-4",노원 방면,"1-4, 4-1, 7-4, ",
90,4호선,411,노원,상계 방면,"4-1, 7-4, 10-4",창동 방면,"1-1, 4-1, 7-4,",
91,4호선,412,창동,노원 방면,"3-4, 9-2",쌍문 방면,"2-2, 8-1,",
92,4호선,413,쌍문,창동 방면,"2-4, 7-2",수유 방면,"2-4, 7-2",
93,4호선,414,수유(강북구청),쌍문 방면,"2-4, 7-2",미아 방면,"2-4, 7-2",
94,4호선,415,미아(서울사이버대학),수유 방면,"2-4, 7-1,",미아사거리 방면,"2-4, 7-1,",
95,4호선,416,미아사거리,미아 방면,"2-2, 9-2,",길음 방면,"3-1, 9-2,",
96,4호선,417,길음,미아사거리 방면,"2-2, 9-3,",성신여대입구 방면,"2-2, 9-3",
97,4호선,418,성신여대입구(돈암),길음 방면,"4-3, 7-2,",한성대입구 방면,"4-3, 7-2,",
98,4호선,419,한성대입구(삼선교),성신여대입구 방면,"2-4, 9-1",혜화 방면,"2-4, 9-1",
99,4호선,420,혜화,한성대입구 방면,"2-4, 7-1",동대문 방면,"2-4, 7-1",
100,4호선,421,동대문,혜화 방면,"3-4, 8-1,",동대문역사문화공원 방면,"3-3, 7-4,",
101,4호선,422,동대문역사문화공원(DDP),동대문 방면,"1-1, 3-1, 9-2",충무로 방면,"2-3, 8-3, 10-4",
