연번,평일/주말,호선,역변호,출발역,상하구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,
1,,1,150,서울역,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,150,서울역,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1,151,시청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1,151,시청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1,152,종각,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,152,종각,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1,153,종로3가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,153,종로3가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,154,종로5가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1,154,종로5가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,1,155,동대문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1,155,동대문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1,156,신설동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1,156,신설동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,1,157,제기동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1,157,제기동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1,158,청량리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1,158,청량리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,1,159,동묘앞,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1,159,동묘앞,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2,201,시청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2,201,시청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,2,202,을지로입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2,202,을지로입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2,203,을지로3가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,2,203,을지로3가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2,204,을지로4가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,2,204,을지로4가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2,205,동대문역사문화공원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2,205,동대문역사문화공원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,2,206,신당,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2,206,신당,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,2,207,상왕십리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,2,207,상왕십리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2,208,왕십리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,2,208,왕십리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,2,209,한양대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,2,209,한양대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,2,210,뚝섬,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,2,210,뚝섬,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,2,211,성수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,2,211,성수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,2,212,건대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,2,212,건대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,2,213,구의,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,2,213,구의,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
