호선,역명,요일,시간,분,상하행,key,실제칸값,예측칸값,로스율(상대)_1칸
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,10,25,150.0
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,7,25,257.14285714285717
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,17,25,47.05882352941176
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,126,3,97.61904761904762
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,78,3,96.15384615384616
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,103,3,97.0873786407767
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,87,3,96.55172413793103
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,96,3,96.875
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,123,3,97.5609756097561
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,137,3,97.8102189781022
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,62,3,95.16129032258065
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,2,25,1150.0
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,4,25,525.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,13,25,92.3076923076923
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,20,25,25.0
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,6,25,316.66666666666663
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,4,25,525.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,13,25,92.3076923076923
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,6,25,316.66666666666663
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,19,25,31.57894736842105
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,96,3,96.875
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,114,3,97.36842105263158
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,81,3,96.29629629629629
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,98,3,96.93877551020408
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,1,건대입구역_6_1_0,120,3,97.5
7호선,건대입구역,MON,6,10,1,건대입구역_6_1_0,88,3,96.5909090909091
7호선,건대입구역,MON,6,20,1,건대입구역_6_1_0,107,3,97.19626168224299
7호선,건대입구역,MON,6,30,1,건대입구역_6_1_0,84,3,96.42857142857143
7호선,건대입구역,MON,6,40,1,건대입구역_6_1_0,97,3,96.90721649484536
7호선,건대입구역,MON,6,50,1,건대입구역_6_1_0,122,3,97.54098360655738
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,건대입구역,MON,6,0,0,건대입구역_6_0_0,8,25,212.5
7호선,건대입구역,MON,6,10,0,건대입구역_6_0_0,11,25,127.27272727272727
7호선,건대입구역,MON,6,20,0,건대입구역_6_0_0,12,25,108.33333333333333
7호선,건대입구역,MON,6,30,0,건대입구역_6_0_0,5,25,400.0
7호선,건대입구역,MON,6,40,0,건대입구역_6_0_0,14,25,78.57142857142857
7호선,건대입구역,MON,6,50,0,건대입구역_6_0_0,18,25,38.88888888888889
7호선,대림역,MON,6,0,0,대림역_6_0_0,44,24,45.45454545454545
7호선,대림역,MON,6,10,0,대림역_6_0_0,40,24,40.0
7호선,대림역,MON,6,20,0,대림역_6_0_0,46,24,47.82608695652174
7호선,대림역,MON,6,30,0,대림역_6_0_0,43,24,44.18604651162791
7호선,대림역,MON,6,40,0,대림역_6_0_0,57,24,57.89473684210527
7호선,대림역,MON,6,50,0,대림역_6_0_0,59,24,59.32203389830508
7호선,대림역,MON,6,0,1,대림역_6_1_0,27,21,22.22222222222222
7호선,대림역,MON,6,10,1,대림역_6_1_0,21,21,0.0
7호선,대림역,MON,6,20,1,대림역_6_1_0,31,21,32.25806451612903
7호선,대림역,MON,6,30,1,대림역_6_1_0,33,21,36.36363636363637
7호선,대림역,MON,6,40,1,대림역_6_1_0,30,21,30.0
7호선,대림역,MON,6,50,1,대림역_6_1_0,42,21,50.0
7호선,대림역,MON,6,0,0,대림역_6_0_0,42,24,42.857142857142854
7호선,대림역,MON,6,10,0,대림역_6_0_0,40,24,40.0
7호선,대림역,MON,6,20,0,대림역_6_0_0,38,24,36.84210526315789
7호선,대림역,MON,6,30,0,대림역_6_0_0,36,24,33.33333333333333
7호선,대림역,MON,6,40,0,대림역_6_0_0,51,24,52.94117647058824
7호선,대림역,MON,6,50,0,대림역_6_0_0,48,24,50.0
7호선,대림역,MON,6,0,1,대림역_6_1_0,21,21,0.0
7호선,대림역,MON,6,10,1,대림역_6_1_0,30,21,30.0
7호선,대림역,MON,6,20,1,대림역_6_1_0,38,21,44.73684210526316
7호선,대림역,MON,6,30,1,대림역_6_1_0,34,21,38.23529411764706
7호선,대림역,MON,6,40,1,대림역_6_1_0,14,21,50.0
7호선,대림역,MON,6,50,1,대림역_6_1_0,42,21,50.0
7호선,대림역,MON,6,0,0,대림역_6_0_0,44,24,45.45454545454545
7호선,대림역,MON,6,10,0,대림역_6_0_0,40,24,40.0
7호선,대림역,MON,6,20,0,대림역_6_0_0,46,24,47.82608695652174
7호선,대림역,MON,6,30,0,대림역_6_0_0,43,24,44.18604651162791
7호선,대림역,MON,6,40,0,대림역_6_0_0,57,24,57.89473684210527
7호선,대림역,MON,6,50,0,대림역_6_0_0,59,24,59.32203389830508
7호선,대림역,MON,6,0,0,대림역_6_0_0,56,24,57.14285714285714
7호선,대림역,MON,6,10,0,대림역_6_0_0,55,24,56.36363636363636
7호선,대림역,MON,6,20,0,대림역_6_0_0,53,24,54.71698113207547
7호선,대림역,MON,6,30,0,대림역_6_0_0,45,24,46.666666666666664
