호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
4호선,미아사거리역,416,MON,06,00,1,0,405,진접역,426,서울역,415,미아역,"[27, 34, 40, 31, 40, 38, 46, 41, 43, 41]",월요일
4호선,미아사거리역,416,MON,06,10,1,0,405,진접역,426,서울역,415,미아역,"[34, 33, 34, 40, 39, 45, 48, 40, 42, 44]",월요일
4호선,미아사거리역,416,MON,06,20,1,0,405,진접역,426,서울역,415,미아역,"[29, 38, 39, 38, 42, 48, 48, 45, 38, 44]",월요일
4호선,미아사거리역,416,MON,06,30,1,0,405,진접역,426,서울역,415,미아역,"[54, 51, 42, 52, 56, 52, 58, 47, 47, 61]",월요일
4호선,미아사거리역,416,MON,06,40,1,0,405,진접역,426,서울역,415,미아역,"[49, 47, 58, 51, 60, 62, 56, 52, 48, 66]",월요일
4호선,미아사거리역,416,MON,06,50,1,0,405,진접역,426,서울역,415,미아역,"[53, 57, 64, 59, 74, 66, 74, 57, 53, 75]",월요일
4호선,미아사거리역,416,MON,06,00,0,0,456,오이도역,409,불암산역,417,길음역,"[5, 15, 29, 23, 19, 23, 43, 24, 17, 11]",월요일
4호선,미아사거리역,416,MON,06,10,0,0,456,오이도역,409,불암산역,417,길음역,"[10, 2, 15, 18, 8, 14, 18, 10, 12, 12]",월요일
4호선,미아사거리역,416,MON,06,20,0,0,456,오이도역,409,불암산역,417,길음역,"[7, 12, 19, 17, 10, 11, 18, 15, 8, 12]",월요일
4호선,미아사거리역,416,MON,06,30,0,0,456,오이도역,409,불암산역,417,길음역,"[3, 7, 6, 7, 4, 8, 10, 6, 6, 2]",월요일
4호선,미아사거리역,416,MON,06,40,0,0,456,오이도역,409,불암산역,417,길음역,"[6, 12, 15, 13, 12, 12, 17, 8, 13, 13]",월요일
4호선,미아사거리역,416,MON,06,50,0,0,456,오이도역,409,불암산역,417,길음역,"[5, 9, 9, 16, 11, 15, 20, 13, 11, 11]",월요일
