호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
4호선,미아사거리역,416,SAT,06,00,1,0,409,불암산역,433,사당역,415,미아역,"[14, 22, 25, 22, 27, 27, 33, 27, 29, 23]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,409,불암산역,433,사당역,415,미아역,"[15, 16, 17, 23, 26, 27, 35, 28, 16, 28]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,409,불암산역,433,사당역,415,미아역,"[16, 13, 16, 16, 22, 30, 19, 20, 24, 25]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,409,불암산역,433,사당역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,409,불암산역,433,사당역,415,미아역,"[18, 19, 19, 18, 22, 27, 28, 20, 27, 24]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,409,불암산역,433,사당역,415,미아역,"[19, 20, 19, 19, 18, 32, 32, 30, 20, 20]",토요일
4호선,미아사거리역,416,SAT,06,00,1,0,409,불암산역,456,오이도역,415,미아역,"[11, 17, 19, 17, 21, 20, 25, 21, 22, 18]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,409,불암산역,456,오이도역,415,미아역,"[15, 16, 16, 22, 25, 26, 33, 27, 15, 26]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,409,불암산역,456,오이도역,415,미아역,"[17, 13, 17, 16, 23, 32, 19, 21, 25, 26]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,409,불암산역,456,오이도역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,409,불암산역,456,오이도역,415,미아역,"[18, 20, 20, 18, 23, 29, 29, 20, 28, 25]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,409,불암산역,456,오이도역,415,미아역,"[19, 19, 19, 19, 17, 30, 31, 28, 19, 19]",토요일
4호선,미아사거리역,416,SAT,06,00,1,0,405,진접역,434,남태령역,415,미아역,"[14, 22, 25, 22, 27, 27, 33, 27, 29, 23]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,405,진접역,434,남태령역,415,미아역,"[16, 17, 17, 24, 27, 29, 36, 29, 17, 29]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,405,진접역,434,남태령역,415,미아역,"[18, 14, 18, 17, 24, 33, 20, 21, 26, 28]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,405,진접역,434,남태령역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,405,진접역,434,남태령역,415,미아역,"[19, 21, 21, 19, 23, 30, 30, 21, 29, 26]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,405,진접역,434,남태령역,415,미아역,"[20, 21, 20, 20, 19, 33, 34, 31, 21, 21]",토요일
4호선,미아사거리역,416,SAT,06,00,1,0,411,노원역,433,사당역,415,미아역,"[15, 24, 27, 24, 29, 29, 35, 29, 32, 25]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,411,노원역,433,사당역,415,미아역,"[16, 17, 17, 24, 27, 29, 36, 29, 17, 29]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,411,노원역,433,사당역,415,미아역,"[18, 14, 18, 17, 24, 33, 20, 21, 26, 28]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,411,노원역,433,사당역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,411,노원역,433,사당역,415,미아역,"[19, 21, 21, 19, 23, 30, 30, 21, 29, 26]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,411,노원역,433,사당역,415,미아역,"[20, 21, 20, 20, 19, 33, 34, 31, 21, 21]",토요일
