호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
8호선,천호역,811,MON,06,00,1,0,807,구리역,827,모란역,810,암사역,"[21, 23, 26, 14, 16, 14]",월요일
8호선,천호역,811,MON,06,10,1,0,807,구리역,827,모란역,810,암사역,"[63, 68, 42, 35, 40, 34]",월요일
8호선,천호역,811,MON,06,20,1,0,807,구리역,827,모란역,810,암사역,"[66, 62, 50, 66, 61, 49]",월요일
8호선,천호역,811,MON,06,30,1,0,807,구리역,827,모란역,810,암사역,"[72, 76, 55, 76, 99, 55]",월요일
8호선,천호역,811,MON,06,40,1,0,807,구리역,827,모란역,810,암사역,"[74, 95, 74, 95, 96, 64]",월요일
8호선,천호역,811,MON,06,50,1,0,807,구리역,827,모란역,810,암사역,"[59, 76, 77, 77, 70, 73]",월요일
8호선,천호역,811,MON,06,00,0,0,814,잠실역,804,별내역,812,강동구청역,"[21, 20, 13, 9, 6, 4]",월요일
8호선,천호역,811,MON,06,10,0,0,814,잠실역,804,별내역,812,강동구청역,"[13, 18, 8, 10, 6, 6]",월요일
8호선,천호역,811,MON,06,20,0,0,814,잠실역,804,별내역,812,강동구청역,"[13, 19, 19, 10, 9, 7]",월요일
8호선,천호역,811,MON,06,30,0,0,814,잠실역,804,별내역,812,강동구청역,"[15, 15, 11, 9, 7, 4]",월요일
8호선,천호역,811,MON,06,40,0,0,814,잠실역,804,별내역,812,강동구청역,"[15, 18, 10, 7, 6, 4]",월요일
8호선,천호역,811,MON,06,50,0,0,814,잠실역,804,별내역,812,강동구청역,"[19, 26, 17, 10, 7, 5]",월요일
8호선,천호역,811,MON,06,00,1,0,810,암사역,827,모란역,810,암사역,"[50, 54, 61, 34, 39, 32]",월요일
8호선,천호역,811,MON,06,10,1,0,810,암사역,827,모란역,810,암사역,"[63, 68, 42, 35, 40, 34]",월요일
8호선,천호역,811,MON,06,20,1,0,810,암사역,827,모란역,810,암사역,"[66, 62, 50, 66, 61, 49]",월요일
8호선,천호역,811,MON,06,30,1,0,810,암사역,827,모란역,810,암사역,"[72, 76, 55, 76, 99, 55]",월요일
8호선,천호역,811,MON,06,40,1,0,810,암사역,827,모란역,810,암사역,"[74, 95, 74, 95, 96, 64]",월요일
