호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
8호선,천호역,811,SAT,06,00,1,0,804,별내역,817,가락시장역,810,암사역,"[26, 28, 24, 16, 18, 9]",토요일
8호선,천호역,811,SAT,06,10,1,0,804,별내역,817,가락시장역,810,암사역,"[36, 24, 20, 14, 16, 14]",토요일
8호선,천호역,811,SAT,06,20,1,0,804,별내역,817,가락시장역,810,암사역,"[20, 17, 25, 29, 25, 10]",토요일
8호선,천호역,811,SAT,06,30,1,0,804,별내역,817,가락시장역,810,암사역,"[25, 20, 19, 22, 29, 17]",토요일
8호선,천호역,811,SAT,06,40,1,0,804,별내역,817,가락시장역,810,암사역,"[27, 25, 26, 21, 21, 18]",토요일
8호선,천호역,811,SAT,06,50,1,0,804,별내역,817,가락시장역,810,암사역,"[18, 20, 16, 16, 22, 16]",토요일
8호선,천호역,811,SAT,06,00,0,0,814,잠실역,804,별내역,812,강동구청역,"[16, 27, 15, 13, 5, 8]",토요일
8호선,천호역,811,SAT,06,10,0,0,814,잠실역,804,별내역,812,강동구청역,"[7, 18, 13, 11, 10, 7]",토요일
8호선,천호역,811,SAT,06,20,0,0,814,잠실역,804,별내역,812,강동구청역,"[13, 18, 16, 9, 11, 5]",토요일
8호선,천호역,811,SAT,06,30,0,0,814,잠실역,804,별내역,812,강동구청역,"[22, 21, 15, 12, 7, 7]",토요일
8호선,천호역,811,SAT,06,40,0,0,814,잠실역,804,별내역,812,강동구청역,"[11, 18, 18, 8, 11, 7]",토요일
8호선,천호역,811,SAT,06,50,0,0,814,잠실역,804,별내역,812,강동구청역,"[21, 23, 16, 12, 7, 5]",토요일
8호선,천호역,811,SAT,06,00,1,0,810,암사역,827,모란역,810,암사역,"[26, 28, 24, 16, 18, 9]",토요일
8호선,천호역,811,SAT,06,10,1,0,810,암사역,827,모란역,810,암사역,"[36, 24, 20, 14, 16, 14]",토요일
8호선,천호역,811,SAT,06,20,1,0,810,암사역,827,모란역,810,암사역,"[20, 17, 25, 29, 25, 10]",토요일
8호선,천호역,811,SAT,06,30,1,0,810,암사역,827,모란역,810,암사역,"[25, 20, 19, 22, 29, 17]",토요일
8호선,천호역,811,SAT,06,40,1,0,810,암사역,827,모란역,810,암사역,"[27, 25, 26, 21, 21, 18]",토요일
8호선,천호역,811,SAT,06,50,1,0,810,암사역,827,모란역,810,암사역,"[18, 20, 16, 16, 22, 16]",토요일
8호선,천호역,811,SAT,06,00,1,0,804,별내역,827,모란역,810,암사역,"[26, 28, 24, 16, 18, 9]",토요일
8호선,천호역,811,SAT,06,10,1,0,804,별내역,827,모란역,810,암사역,"[36, 24, 20, 14, 16, 14]",토요일
8호선,천호역,811,SAT,06,20,1,0,804,별내역,827,모란역,810,암사역,"[20, 17, 25, 29, 25, 10]",토요일
8호선,천호역,811,SAT,06,30,1,0,804,별내역,827,모란역,810,암사역,"[25, 20, 19, 22, 29, 17]",토요일
8호선,천호역,811,SAT,06,40,1,0,804,별내역,827,모란역,810,암사역,"[27, 25, 26, 21, 21, 18]",토요일
8호선,천호역,811,SAT,06,50,1,0,804,별내역,827,모란역,810,암사역,"[18, 20, 16, 16, 22, 16]",토요일
8호선,천호역,811,SAT,06,00,1,0,807,구리역,827,모란역,810,암사역,"[12, 12, 11, 7, 8, 4]",토요일
8호선,천호역,811,SAT,06,10,1,0,807,구리역,827,모란역,810,암사역,"[36, 24, 20, 14, 16, 14]",토요일
8호선,천호역,811,SAT,06,20,1,0,807,구리역,827,모란역,810,암사역,"[20, 17, 25, 29, 25, 10]",토요일
8호선,천호역,811,SAT,06,30,1,0,807,구리역,827,모란역,810,암사역,"[25, 20, 19, 22, 29, 17]",토요일
8호선,천호역,811,SAT,06,40,1,0,807,구리역,827,모란역,810,암사역,"[27, 25, 26, 21, 21, 18]",토요일
8호선,천호역,811,SAT,06,50,1,0,807,구리역,827,모란역,810,암사역,"[18, 20, 16, 16, 22, 16]",토요일
8호선,천호역,811,SAT,06,00,0,0,817,가락시장역,804,별내역,812,강동구청역,"[6, 10, 5, 5, 2, 3]",토요일
8호선,천호역,811,SAT,06,10,0,0,817,가락시장역,804,별내역,812,강동구청역,"[7, 18, 13, 11, 10, 7]",토요일
8호선,천호역,811,SAT,06,20,0,0,817,가락시장역,804,별내역,812,강동구청역,"[13, 18, 16, 9, 11, 5]",토요일
8호선,천호역,811,SAT,06,30,0,0,817,가락시장역,804,별내역,812,강동구청역,"[22, 21, 15, 12, 7, 7]",토요일
8호선,천호역,811,SAT,06,40,0,0,817,가락시장역,804,별내역,812,강동구청역,"[11, 18, 18, 8, 11, 7]",토요일
8호선,천호역,811,SAT,06,50,0,0,817,가락시장역,804,별내역,812,강동구청역,"[21, 23, 16, 12, 7, 5]",토요일
8호선,천호역,811,SAT,06,00,0,0,827,모란역,810,암사역,812,강동구청역,"[16, 27, 15, 13, 5, 8]",토요일
8호선,천호역,811,SAT,06,10,0,0,827,모란역,810,암사역,812,강동구청역,"[7, 18, 13, 11, 10, 7]",토요일
